P3018,2019-05-04,0 days 12:01:32.928000
P3018,2019-05-05,0 days 11:19:30.167000
P3018,2019-05-06,0 days 09:42:06.609000
P1523,2019-05-17,0 days 08:35:22.680000
P1523,2019-05-18,0 days 09:36:30.458000
P1523,2019-05-19,0 days 11:44:37.222000
P1523,2019-05-20,0 days 12:14:12.899000
P1523,2019-05-21,0 days 11:03:05.905000
P1523,2019-05-22,0 days 11:15:45.966000
P1523,2019-05-23,0 days 10:18:36.491000
P0715,2019-05-09,0 days 05:40:14.872000
P0715,2019-05-10,0 days 15:30:20.771000
P0715,2019-05-11,0 days 05:12:35.407000
P0715,2019-05-12,0 days 09:13:09.755000
P0715,2019-05-14,0 days 09:32:15.177000
P3019,2019-05-01,0 days 11:40:09.794000
P3019,2019-05-02,0 days 10:00:46.176000
P3019,2019-05-03,0 days 07:39:30.439000
P3019,2019-05-04,0 days 08:08:12.616000
P3019,2019-05-05,0 days 16:04:58.132000
P3019,2019-05-06,0 days 09:48:20.582000
P1514,2019-05-17,0 days 10:56:57.121000
P1514,2019-05-18,0 days 14:03:15.567000
P1514,2019-05-19,0 days 13:27:04.171000
P1514,2019-05-20,0 days 11:24:49.879000
P1514,2019-05-21,0 days 12:09:40.791000
P1514,2019-05-22,0 days 11:06:52.381000
P3041,2019-05-02,0 days 07:24:15.724000
P3041,2019-05-03,0 days 07:40:10.923000
P3041,2019-05-04,0 days 13:11:08.601000
P3041,2019-05-05,0 days 15:55:48.897000
P3041,2019-05-06,0 days 17:56:30.841000
P0716,2019-05-09,0 days 03:41:45.967000
P0716,2019-05-10,0 days 03:42:58.403000
P0716,2019-05-11,0 days 07:13:40.157000
P0716,2019-05-12,0 days 12:26:51.424000
P0716,2019-05-13,0 days 04:20:17.901000
P0716,2019-05-14,0 days 10:45:23.528000
P1521,2019-05-17,0 days 04:52:46.523000
P1521,2019-05-18,0 days 06:36:53.748000
P1521,2019-05-19,0 days 15:25:18.329000
P1521,2019-05-20,0 days 07:44:04.329000
P1521,2019-05-21,0 days 09:35:45.012000
P1521,2019-05-22,0 days 06:35:54.733000
P0709,2019-05-09,0 days 07:21:19.075000
P0709,2019-05-10,0 days 07:57:33.170000
P0709,2019-05-11,0 days 09:54:00.322000
P0709,2019-05-12,0 days 10:04:47.178000
P0709,2019-05-13,0 days 06:17:54.590000
P0709,2019-05-14,0 days 10:34:36.277000
P1522,2019-05-17,0 days 08:25:08.641000
P1522,2019-05-18,0 days 06:23:13.999000
P1522,2019-05-19,0 days 07:37:47.347000
P1522,2019-05-20,0 days 06:33:30.919000
P1522,2019-05-21,0 days 07:12:42.496000
P1522,2019-05-22,0 days 04:16:00.391000
P3013,2019-05-01,0 days 09:40:22.631000
P3013,2019-05-02,0 days 07:49:10.888000
P3013,2019-05-03,0 days 08:26:14.006000
P3013,2019-05-04,0 days 06:51:05.990000
P3013,2019-05-05,0 days 05:28:15.728000
P3013,2019-05-06,0 days 14:37:30.749000
P1503,2019-05-17,0 days 05:01:46.070000
P1503,2019-05-18,0 days 04:21:42.607000
P1503,2019-05-19,0 days 13:54:15.742000
P1503,2019-05-20,0 days 06:32:29.878000
P1503,2019-05-21,0 days 06:55:23.438000
P1503,2019-05-22,0 days 06:59:17.341000
P1505,2019-05-17,0 days 04:41:05.626000
P1505,2019-05-18,0 days 20:16:52.875000
P1505,2019-05-19,0 days 06:51:28.976000
P1505,2019-05-20,0 days 06:59:55.891000
P1505,2019-05-21,0 days 06:24:07.641000
P1505,2019-05-22,0 days 10:19:18.573000
P1520,2019-05-16,0 days 03:01:48.479000
P1520,2019-05-17,0 days 09:45:06.557000
P1520,2019-05-18,0 days 11:33:12.172000
P1520,2019-05-19,0 days 10:08:05.395000
P1520,2019-05-20,0 days 15:36:00.918000
P1520,2019-05-21,0 days 17:36:40.941000
P1520,2019-05-22,0 days 05:02:44.667000
P1520,2019-05-23,0 days 04:04:38.766000
P0729,2019-05-09,0 days 11:40:27.552000
P0729,2019-05-10,0 days 14:42:37.411000
P0729,2019-05-11,0 days 05:09:16.661000
P0729,2019-05-12,0 days 13:59:38.187000
P0729,2019-05-13,0 days 03:18:53.563000
P0729,2019-05-14,0 days 05:24:31.852000
P0713,2019-05-09,0 days 06:12:14.750000
P0713,2019-05-10,0 days 05:19:17.039000
P0713,2019-05-11,0 days 06:46:58.541000
P0713,2019-05-12,0 days 12:56:04.118000
P0713,2019-05-13,0 days 04:08:50.176000
P0713,2019-05-14,0 days 08:11:31.091000
P0713,2019-05-15,0 days 06:25:46.547000
P3023,2019-05-04,0 days 11:38:34.624000
P3023,2019-05-05,0 days 14:39:41.740000
P3023,2019-05-06,0 days 03:33:46.015000
P3021,2019-05-01,0 days 04:04:27.693000
P3021,2019-05-02,0 days 04:49:57.525000
P3021,2019-05-03,0 days 06:07:37.627000
P3021,2019-05-04,0 days 05:11:18.810000
P3021,2019-05-05,0 days 05:06:54.582000
P3021,2019-05-06,0 days 05:57:36.416000
P0712,2019-05-09,0 days 08:43:11.177000
P0712,2019-05-10,0 days 08:48:25.239000
P0712,2019-05-11,0 days 10:28:57.609000
P0712,2019-05-12,0 days 09:46:59.507000
P0712,2019-05-13,0 days 10:05:39.805000
P0712,2019-05-14,0 days 06:25:51.047000
P3012,2019-05-01,0 days 09:34:18.056000
P3012,2019-05-02,0 days 09:55:43.513000
P3012,2019-05-03,0 days 08:57:10.118000
P3012,2019-05-04,0 days 07:22:53.258000
P3012,2019-05-05,0 days 09:26:56.834000
P3012,2019-05-06,0 days 14:34:53.907000
P3016,2019-04-30,0 days 02:53:34.137000
P3016,2019-05-01,0 days 07:33:05.276000
P3016,2019-05-02,0 days 13:56:16.230000
P3016,2019-05-03,0 days 14:10:03.786000
P3016,2019-05-04,0 days 15:58:59.535000
P3016,2019-05-05,0 days 16:17:20.844000
P3016,2019-05-06,0 days 10:36:26.635000
P3016,2019-05-07,0 days 06:07:02.199000
P3025,2019-05-01,0 days 17:40:25.751000
P3025,2019-05-02,0 days 07:56:33.679000
P3025,2019-05-03,0 days 06:07:21.616000
P3025,2019-05-04,0 days 08:36:48.446000
P3025,2019-05-05,0 days 14:25:37.969000
P3025,2019-05-06,0 days 06:09:31.856000
P0702,2019-05-09,0 days 08:44:16.453000
P0702,2019-05-10,0 days 07:53:41.809000
P0702,2019-05-11,0 days 13:26:32.512000
P0702,2019-05-12,0 days 08:06:37.481000
P0702,2019-05-13,0 days 06:44:18.293000
P0702,2019-05-14,0 days 09:33:37.779000
P3001,2019-05-01,0 days 10:09:21.044000
P3001,2019-05-02,0 days 12:00:59.761000
P3001,2019-05-03,0 days 07:14:25.385000
P3001,2019-05-04,0 days 12:18:17.770000
P3001,2019-05-05,0 days 11:03:07.800000
P3001,2019-05-06,0 days 09:16:54.447000
P0721,2019-05-08,0 days 03:05:56.017000
P0721,2019-05-09,0 days 08:30:45.014000
P0721,2019-05-10,0 days 07:04:16.856000
P0721,2019-05-11,0 days 09:33:12.003000
P0721,2019-05-12,0 days 16:50:18.577000
P0721,2019-05-13,0 days 10:22:27.331000
P0721,2019-05-14,0 days 12:26:56.937000
P1541,2019-05-16,0 days 03:15:09.490000
P1541,2019-05-17,0 days 14:06:03.570000
P1541,2019-05-18,0 days 23:08:07.560000
P1541,2019-05-19,0 days 13:36:01.086000
P1541,2019-05-20,0 days 10:07:58.127000
P1541,2019-05-21,0 days 11:11:59.667000
P1541,2019-05-22,0 days 08:21:05.933000
P1541,2019-05-23,0 days 08:45:00.619000
P3015,2019-05-01,0 days 10:10:46.782000
P3015,2019-05-02,0 days 08:46:56.234000
P3015,2019-05-03,0 days 09:17:56.137000
P3015,2019-05-04,0 days 09:14:45.902000
P3015,2019-05-05,0 days 12:40:56.377000
P3015,2019-05-06,0 days 05:55:04.288000
P0710,2019-05-09,0 days 07:41:39.226000
P0710,2019-05-10,0 days 11:10:47.346000
P0710,2019-05-11,0 days 09:08:35.945000
P0710,2019-05-12,0 days 18:48:21.942000
P0710,2019-05-13,0 days 13:36:59.872000
P0710,2019-05-14,0 days 05:25:09.793000
P0718,2019-05-08,0 days 02:47:56.108000
P0718,2019-05-09,0 days 08:05:02.555000
P0718,2019-05-10,0 days 11:31:50.231000
P0718,2019-05-11,0 days 13:39:22.830000
P0718,2019-05-12,0 days 13:49:57.242000
P0718,2019-05-13,0 days 11:55:24.353000
P0718,2019-05-14,0 days 05:43:15.052000
P1517,2019-05-17,0 days 08:08:41.124000
P1517,2019-05-18,0 days 12:51:55.236000
P1517,2019-05-19,0 days 02:51:14.309000
P1517,2019-05-20,0 days 15:33:07.957000
P1517,2019-05-21,0 days 03:14:35.659000
P1517,2019-05-22,0 days 13:30:09.210000
P1517,2019-05-23,0 days 03:57:06.728000
P0714,2019-05-09,0 days 08:32:20.436000
P0714,2019-05-10,0 days 12:48:55.647000
P0714,2019-05-11,0 days 07:13:51.760000
P0714,2019-05-12,0 days 13:02:00.946000
P0714,2019-05-13,0 days 05:13:42.590000
P0714,2019-05-14,0 days 11:06:46.350000
P1508,2019-05-16,0 days 02:38:15.446000
P1508,2019-05-18,0 days 10:42:35.207000
P1508,2019-05-19,0 days 12:21:31.305000
P1508,2019-05-20,0 days 05:43:51.280000
P1508,2019-05-21,0 days 03:01:04.563000
P1508,2019-05-22,0 days 16:42:34.286000
P1509,2019-05-16,0 days 03:46:06.161000
P1509,2019-05-17,0 days 16:28:29.038000
P1509,2019-05-18,0 days 15:57:02.154000
P1509,2019-05-19,0 days 10:54:59.763000
P1509,2019-05-20,0 days 07:43:00.616000
P1509,2019-05-21,0 days 09:49:57.286000
P1509,2019-05-22,0 days 07:47:08.885000
P1502,2019-05-17,0 days 08:17:30.741000
P1502,2019-05-18,0 days 05:03:52.646000
P1502,2019-05-19,0 days 08:40:06.856000
P1502,2019-05-20,0 days 08:39:51.692000
P1502,2019-05-21,0 days 04:14:58.499000
P1502,2019-05-22,0 days 07:20:49.423000
P1502,2019-05-23,0 days 06:24:18.953000
P1516,2019-05-16,0 days 02:45:43.479000
P1516,2019-05-17,0 days 08:21:52.208000
P1516,2019-05-18,0 days 12:46:36.818000
P1516,2019-05-19,0 days 08:27:05.277000
P1516,2019-05-20,0 days 09:13:44.602000
P1516,2019-05-21,0 days 12:22:04.903000
P1516,2019-05-22,0 days 08:15:18.436000
P1525,2019-05-17,0 days 10:55:48.807000
P1525,2019-05-18,0 days 12:30:40.876000
P1525,2019-05-19,0 days 07:55:27.575000
P1525,2019-05-20,0 days 03:53:04.374000
P1525,2019-05-21,0 days 10:58:54.569000
P1525,2019-05-22,0 days 09:46:53.672000
P1525,2019-05-23,0 days 07:17:52.484000
P0724,2019-05-09,0 days 06:36:23.580000
P0724,2019-05-10,0 days 10:40:49.933000
P0724,2019-05-11,0 days 13:13:28.660000
P0724,2019-05-12,0 days 11:02:44.840000
